ndsi,smi,savi,bsi
-0.14593467,0.14593467,0.19061683,39758.73438
-0.13416049,0.13416049,0.25836658,42058.74609
-0.17313218,0.17313218,0.07136557,36285.70703
-0.17349689,0.17349689,0.25746295,41132.69141
-0.07849101,0.07849101,0.29965064,45136.82813
-0.06433935,0.06433935,0.25941086,44641.85156
-0.1088166,0.1088166,0.14557041,39797.78906
-0.12873551,0.12873551,0.10511649,38077.76172
-0.11287715,0.11287715,0.23045775,42075.78125
-0.14332418,0.14332418,0.0691451,36755.74219
-0.16334805,0.16334805,0.2677117,41911.70703
-0.03969557,0.03969557,0.238663,45172.89063
-0.07268065,0.07268065,0.23536213,43854.84375
-0.14287341,0.14287341,0.08036206,37296.74609
-0.15346594,0.15346594,0.04738417,36253.73438
-0.11889874,0.11889874,0.17250706,40535.77734
-0.09260742,0.09260742,0.21759702,42389.8125
-0.08791716,0.08791716,0.1762695,41696.82422
-0.10440381,0.10440381,0.18202487,41456.80469
-0.07118102,0.07118102,0.19138935,42586.84766
-0.0627283,0.0627283,0.16559474,42450.85938
-0.13106731,0.13106731,0.24429314,42403.81641
-0.0854102,0.0854102,0.21962015,44060.8125
-0.09016495,0.09016495,0.27217132,44494.83203
-0.08179808,0.08179808,0.26088986,43768.82422
-0.08380029,0.08380029,0.24430983,39614.79297
-0.10451366,0.10451366,0.14443751,37498.75391
-0.13437359,0.13437359,0.0871705,40273.75781
-0.13344122,0.13344122,0.17664127,39778.77734
-0.11758242,0.11758242,0.15773876,37614.76563
-0.12638009,0.12638009,0.07978097,40436.8125
-0.08884578,0.08884578,0.15860234,43310.82813
-0.08743476,0.08743476,0.22198948,38842.8125
-0.09220382,0.09220382,0.09301192,38406.78516
-0.12258698,0.12258698,0.07610055,40251.83203
-0.08082912,0.08082912,0.1181114,42480.86719
-0.05579746,0.05579746,0.16626915,42580.88281
-0.0445746,0.0445746,0.16141649,41217.85156
-0.0610311,0.0610311,0.15699251,45002.84766
-0.0645755,0.0645755,0.2707127,45093.88281
-0.04155169,0.04155169,0.24924441,45262.85547
-0.06094414,0.06094414,0.26997548,45158.83203
-0.07925908,0.07925908,0.28536987,45206.85156
-0.06697937,0.06697937,0.2729134,42806.80078
-0.10615702,0.10615702,0.2281692,41020.78906
-0.11007048,0.11007048,0.18607658,41072.80859
-0.09480036,0.09480036,0.17981049,40243.78125
-0.11242028,0.11242028,0.17613401,38927.74219
-0.14060719,0.14060719,0.15392514,41586.84375
-0.06027184,0.06027184,0.18543127,40390.75
-0.14142691,0.14142691,0.18971679,35831.73438
-0.15218867,0.15218867,0.03067501,36244.6875
-0.18923788,0.18923788,0.07709257,39983.78516
-0.10943878,0.10943878,0.1697387,43021.84766
-0.06374122,0.06374122,0.21376179,43912.89063
-0.03730242,0.03730242,0.20161793,42919.85156
-0.0691487,0.0691487,0.1960534,42537.85547
-0.0578673,0.0578673,0.19739173,42398.84375
-0.06618724,0.06618724,0.20162947,44881.90234
-0.02351624,0.02351624,0.24641176,44352.89453
-0.03569949,0.03569949,0.21060672,40495.78906
-0.1121432,0.1121432,0.17185038,43321.81641
-0.08897163,0.08897163,0.24120156,42683.83594
-0.07589128,0.07589128,0.20644288,45214.89844
-0.028124,0.028124,0.2360983,45617.875
-0.04706575,0.04706575,0.26383653,45226.87891
-0.04902039,0.04902039,0.24595727,41711.83984
-0.07960985,0.07960985,0.15972866,37305.75
-0.15345387,0.15345387,0.0533805,37272.69922
-0.1894258,0.1894258,0.09040737,40221.72266
-0.15779708,0.15779708,0.20228268,43155.78516
-0.11304871,0.11304871,0.25870377,42749.83203
-0.07349861,0.07349861,0.22336923,37498.70703
-0.17385943,0.17385943,0.11421965,35330.72266
-0.16418481,0.16418481,0.01699881,38139.73047
-0.15256993,0.15256993,0.12423278,42542.83203
-0.07490423,0.07490423,0.21586728,42258.80078
-0.10054894,0.10054894,0.22206187,42436.82813
-0.0748155,0.0748155,0.21692275,41451.79297
-0.10306612,0.10306612,0.20473845,41320.80859
-0.09364998,0.09364998,0.19495364,42093.8125
-0.09107199,0.09107199,0.21835242,43799.89453
-0.02985702,0.02985702,0.2060606,43272.88672
-0.03670477,0.03670477,0.18934052,42112.83984
-0.07169879,0.07169879,0.19293794,42156.79297
-0.10403284,0.10403284,0.23215827,42955.77734
-0.11212991,0.11212991,0.27504617,43205.78906
-0.10201131,0.10201131,0.27053493,42302.77734
-0.11507007,0.11507007,0.24955495,42367.78125
-0.11046537,0.11046537,0.25152194,39711.80859
-0.09235014,0.09235014,0.13745394,36802.73047
-0.16005632,0.16005632,0.06663498,42706.84766
-0.07245862,0.07245862,0.18855226,45251.84375
-0.0717065,0.0717065,0.27726445,44494.80859
-0.09489111,0.09489111,0.28291756,42011.82813
-0.08765195,0.08765195,0.17944255,38584.75391
-0.14671689,0.14671689,0.10581585,39124.73438
-0.15920579,0.15920579,0.14057083,41206.73438
-0.15047885,0.15047885,0.22627755,43555.76953
-0.12398933,0.12398933,0.27367461,43614.85547
-0.05594612,0.05594612,0.23639217,37671.74609
-0.14024593,0.14024593,0.10518519,35949.74219
-0.14535666,0.14535666,0.03568011,40402.75391
-0.136132,0.136132,0.18870375,42860.85938
-0.05730923,0.05730923,0.19790959,42300.83984
-0.06782997,0.06782997,0.19542517,42151.82813
-0.08320563,0.08320563,0.19557396,40430.75781
-0.13290498,0.13290498,0.19297317,41794.78516
-0.10860777,0.10860777,0.22074687,40258.81641
-0.0859662,0.0859662,0.14587612,41005.77344
-0.12204799,0.12204799,0.19766085,45180.96094
0.01911287,-0.01911287,0.19497335,45433.95703
0.01012608,-0.01012608,0.18826367,44200.88672
-0.03669649,0.03669649,0.22232161,43062.78906
-0.10594916,0.10594916,0.25670168,44829.89063
-0.03542433,0.03542433,0.23734327,44903.91406
-0.01511792,0.01511792,0.22473116,46354.91406
-0.0199701,0.0199701,0.25426859,45934.98438
0.03378087,-0.03378087,0.18929215,43238.95703
0.01675929,-0.01675929,0.135087,42996.94531
0.00643342,-0.00643342,0.12652384,43963.98047
0.03204392,-0.03204392,0.12308827,41689.79688
-0.1022373,0.1022373,0.20365165,39754.80078
-0.10292262,0.10292262,0.12848732,43330.84766
